视频名称,标注,时间段,说明
aishe8864_1,正常,,
aishe8864_2,身体暴露：乳房,4-7秒,女性受试者故意露出胸部
aishe8864_3,身体暴露：乳房,6-8秒,女性受试者故意露出胸部
aishe8864_4,正常,,
aishe8864_5,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
aishe8864_6,身体暴露：乳房,6-10秒,女性受试者故意露出胸部
aishe8864_7,身体暴露：乳房,5-12秒,女性受试者故意露出胸部
aishe8864_8,身体暴露：乳房,3-13秒,女性受试者故意露出胸部
aishe8864_9,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
aishe8864_10,正常,,
aishe8864_11,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_12,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_13,身体暴露：乳房,6-15秒,女性受试者故意露出胸部
aishe8864_14,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_15,性暗示动作：挑逗姿势,1-89秒,女性受试者跳舞并伴有勾引动作
aishe8864_16,正常,,
aishe8864_17,正常,,
aishe8864_18,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
aishe8864_19,身体暴露：乳房,1-6秒,女性受试者故意露出胸部
aishe8864_20,身体暴露：乳房,14-16秒,女性受试者故意露出胸部
aishe8864_21,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
aishe8864_22,身体暴露：乳房,12-21秒,女性受试者故意露出胸部
aishe8864_23,身体暴露：乳房,13-15秒,女性受试者故意露出胸部
aishe8864_24,身体暴露：乳房,5-7秒,女性受试者故意露出胸部
aishe8864_25,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_26,身体暴露：乳房,1-12秒,女性受试者故意露出胸部
aishe8864_27,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_28,身体暴露：乳房，隐私部位；性暗示动作：湿身挑逗,16-19秒,女性受试者故意湿身露出胸部和隐私部位
aishe8864_29,身体暴露：乳房,10-12秒,女性受试者故意露出胸部
aishe8864_30,身体暴露：乳房,1-30秒,女性受试者故意露出胸部
aishe8864_31,身体暴露：乳房,30-42秒,女性受试者故意露出胸部
aishe8864_32,身体暴露：隐私部位,1-2秒,女性受试者故意露出内裤
aishe8864_33,身体暴露：乳房,2-19秒,女性受试者故意露出胸部
aishe8864_34,性暗示动作：挑逗姿势,5-30秒,女性受试者故意跳舞挑逗
aishe8864_35,身体暴露：乳房,47-50秒,女性受试者故意露出胸部
aishe8864_36,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
aishe8864_37,正常,,
aishe8864_38,身体暴露：乳房,8-9秒,女性受试者故意露出胸部
aishe8864_39,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
aishe8864_40,身体暴露：臀部,4-6秒,女性受试者故意露出臀部
aishe8864_41,身体暴露：臀部,1-8秒,女性受试者故意露出臀部
aishe8864_42,正常,,
aishe8864_43,身体暴露：乳房,1-8秒,女性受试者故意露出胸部
aishe8864_44,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_45,身体暴露：乳房,3-11秒,女性受试者故意露出胸部
aishe8864_46,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_47,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_48,身体暴露：乳房,2-7秒,女性受试者故意露出胸部
aishe8864_49,身体暴露：乳房,4-11秒,女性受试者故意露出胸部
aishe8864_50,身体暴露：乳房,4-6秒,女性受试者故意露出胸部
aishe8864_51,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
aishe8864_52,性暗示动作：挑逗姿势,1-8秒,女性受试者故意跳舞挑逗
aishe8864_53,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
aishe8864_54,身体暴露：臀部,1-5秒,女性受试者故意露出臀部
aishe8864_55,身体暴露：乳房,18-19秒,女性受试者故意露出胸部
aishe8864_56,身体暴露：乳房,10-16秒,女性受试者故意露出胸部
aishe8864_57,身体暴露：乳房,4-9秒,女性受试者故意露出胸部
aishe8864_58,性暗示动作：挑逗姿势；身体暴露：内裤,1-9秒,女性受试者故意露出内裤并跳舞勾引
aishe8864_59,身体暴露：乳房,4-9秒,女性受试者故意露出胸部
aishe8864_60,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_61,身体暴露：乳房,3-6秒,女性受试者故意露出胸部
aishe8864_62,身体暴露：乳房,3-5秒,女性受试者故意露出胸部
aishe8864_63,身体暴露：隐私部位,10-18秒,女性受试者故意露出隐私部位
aishe8864_64,身体暴露：乳房,1-10秒,女性受试者故意露出胸部
aishe8864_65,身体暴露：乳房,12-13秒,女性受试者故意露出胸部
aishe8864_66,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_67,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_68,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_69,身体暴露：乳房,20-23秒,女性受试者故意露出胸部
aishe8864_70,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
aishe8864_71,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
aishe8864_72,正常,,
aishe8864_73,身体暴露：乳房,4-12秒,女性受试者故意露出胸部
aishe8864_74,身体暴露：乳房,6-10秒,女性受试者故意露出胸部
aishe8864_75,身体暴露：乳房,4-5秒,女性受试者故意露出胸部
aishe8864_76,身体暴露：乳房,1-5秒,女性受试者故意露出胸部
aishe8864_77,身体暴露：乳房,4-10秒,女性受试者故意露出胸部
aishe8864_78,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
aishe8864_79,身体暴露：臀部和私密部位,1-27秒,女性受试者故意露出臀部和私密部位
aishe8864_80,身体暴露：乳房,8-11秒,女性受试者故意露出胸部
aishe8864_81,身体暴露：乳房,1-2秒,女性受试者故意露出胸部
aishe8864_82,身体暴露：乳房和内裤,1-5秒,女性受试者故意露出胸部和内裤
aishe8864_83,身体暴露：乳房,7-8秒,女性受试者故意露出胸部
aishe8864_84,身体暴露：乳房,13-14秒,女性受试者故意露出胸部
aishe8864_85,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_86,身体暴露：乳房,7-10秒,女性受试者故意露出胸部
aishe8864_87,身体暴露：乳房,1-3秒,女性受试者故意露出胸部
aishe8864_88,身体暴露：乳房,12-15秒,女性受试者故意露出胸部
aishe8864_89,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
aishe8864_90,身体暴露：乳房,5-6秒,女性受试者故意露出胸部
aishe8864_91,身体暴露：乳房,3-4秒,女性受试者故意露出胸部
aishe8864_92,身体暴露：乳房,4-15秒,女性受试者故意露出胸部
aishe8864_93,身体暴露：乳房,1-4秒,女性受试者故意露出胸部
aishe8864_94,身体暴露：乳房,7-33秒,女性受试者故意露出胸部
aishe8864_95,身体暴露：乳房,24-25秒,女性受试者故意露出胸部
aishe8864_96,正常,,
aishe8864_97,身体暴露：乳房,2-3秒,女性受试者故意露出胸部
aishe8864_98,身体暴露：乳房,1-13秒,女性受试者故意露出胸部
